50000	0.752995734	0.250166783
70000	0.909682872	0.262518276
90000	1.150411226	0.337533434
110000	1.452263684	0.438729149
130000	1.680833073	0.501278795
150000	1.925200724	0.590186903
170000	2.212481092	0.684102448
190000	2.515551471	0.71759091
210000	2.714900805	0.804734635
230000	3.038363135	1.020721856
250000	3.940771438	0.956769119
270000	3.960415632	1.101887845
290000	3.918605188	1.110693833
310000	4.289529341	1.199736384
330000	4.467568434	1.269307456
350000	4.684565994	1.327979279
370000	5.878599138	1.573528605
390000	5.385817344	1.455750031
410000	5.403527387	1.511496751
430000	5.922693015	1.658445425
